number,target0,threshold0,clip0,target1,clip1,prob0,mean0,stddev0,prob1,mean1,stddev1,prob_joined
220,er,158,5.0,em,0.0,0.15,66.55283999999988,12.8418490281743,0.001,29.184119999999957,29.11059716422185,0.0
230,er,158,5.0,em,0.0,0.172,67.9719599999999,13.398941164077776,0.002,29.391578999999993,29.94496983507844,0.0
240,er,158,5.0,em,0.0,0.197,69.05671200000002,12.835066698582187,0.001,28.988315999999983,28.724116158833187,0.0
250,er,158,5.0,em,0.0,0.204,69.351552,12.479669536301524,0.001,29.664305999999964,30.329071240319294,0.0
260,er,158,5.0,em,0.0,0.239,70.78298399999997,13.106442153069356,0.0,28.585052999999974,28.71502795750323,0.0
270,er,158,5.0,em,0.0,0.275,72.02779200000003,13.281760007044893,0.002,30.491810999999984,29.380628895265016,0.0
280,er,158,5.0,em,0.0,0.277,72.154152,13.770285101801822,0.001,28.568735999999973,28.975226755390633,0.0
290,er,158,5.0,em,0.0,0.285,72.75614399999999,13.710625213872172,0.0,29.634003000000035,28.850457603355068,0.0
300,er,158,5.0,em,0.0,0.306,73.19095199999997,13.23222345117002,0.0,28.030274999999985,27.90104517854798,0.0
310,er,158,5.0,em,0.0,0.318,74.3268959999999,13.325300261877413,0.001,30.100202999999937,28.91355627801245,0.0
320,er,158,5.0,em,0.0,0.361,75.38119199999993,12.999512462978654,0.001,28.74356099999996,29.132225775012106,0.0
330,er,158,5.0,em,0.0,0.389,76.19443200000008,12.95178308795207,0.001,28.743560999999975,29.05247523899265,0.001
340,er,158,5.0,em,0.0,0.381,76.33051199999997,13.28105307488293,0.001,28.510460999999967,29.308896792927595,0.0
350,er,158,5.0,em,0.0,0.42,77.67835200000013,13.462223377884706,0.0,29.235401999999965,28.533595331825925,0.0
360,er,158,5.0,em,0.0,0.447,78.11380799999988,12.691901495802274,0.0,28.92771,28.306815967040475,0.0
370,er,158,5.0,em,0.0,0.449,78.83503199999993,12.7922277086902,0.001,27.055916999999965,28.360765658248933,0.0
380,er,158,5.0,em,0.0,0.453,79.00351199999993,13.031253238958573,0.0,29.06756999999998,28.496329610058556,0.0
390,er,158,5.0,em,0.0,0.507,79.96773600000009,12.789217833561224,0.0,28.42421399999994,27.835142806355517,0.0
400,er,158,5.0,em,0.0,0.491,80.26905599999996,12.620465301282241,0.0,28.69460999999996,28.429208943442358,0.0
410,er,158,5.0,em,0.0,0.525,80.81078400000008,12.609233109484757,0.001,29.384585999999995,28.872496945373523,0.0
420,er,158,4.4,em,0.6,0.5,80.24767199999995,12.662508276815492,0.003,47.72256299999993,31.85422768550578,0.0
430,er,158,4.4,em,0.6,0.519,81.40370400000009,13.229184180755663,0.003,47.36358899999994,31.1911177938863,0.0
440,er,158,4.4,em,0.6,0.54,81.11210399999999,12.736836376635118,0.005,47.27501099999998,31.132949704981137,0.002
450,er,158,4.300000000000001,em,0.7,0.538,81.4147200000001,13.134920039405495,0.004,50.025590999999935,30.94093914647286,0.001
460,er,158,4.200000000000001,em,0.7999999999999999,0.548,81.41018400000003,12.75003704959806,0.003,52.494119999999924,31.284903220333202,0.0
470,er,158,4.100000000000001,em,0.8999999999999999,0.541,81.32075999999994,13.176502411732917,0.006,58.78548899999992,29.041401203969112,0.003
480,er,158,4.000000000000002,em,0.9999999999999999,0.503,80.98639200000007,13.431065205348226,0.005,64.37755799999992,28.93315437308305,0.001
490,er,158,4.000000000000002,em,0.9999999999999999,0.537,81.423792,12.815144668895712,0.003,62.340263999999905,28.83028294110771,0.0
500,er,158,3.9000000000000017,em,1.0999999999999999,0.558,81.765288,12.59939711085625,0.008,66.89736899999993,27.68443030450239,0.004
510,er,158,3.8000000000000016,em,1.2,0.496,80.51659200000013,12.90300431254358,0.008,72.35423999999986,27.705030852327305,0.001
520,er,158,3.8000000000000016,em,1.2,0.525,80.76218400000005,12.620576677716576,0.009,73.23069599999998,27.74780573273474,0.004
530,er,158,3.7000000000000015,em,1.3,0.516,80.32348799999987,12.562145849570113,0.005,78.79013099999995,26.26731894301041,0.003
540,er,158,3.7000000000000015,em,1.3,0.532,81.193104,13.098598268714225,0.006,76.43582099999996,26.38001247878677,0.002
550,er,158,3.6000000000000014,em,1.4000000000000001,0.535,80.88789600000005,12.748962711890208,0.012,79.18640100000007,24.976549047980264,0.002
560,er,158,3.5000000000000013,em,1.5000000000000002,0.546,81.73677599999999,12.430292509744785,0.011,83.2633199999998,24.91266541820875,0.002
570,er,158,3.4000000000000012,em,1.6000000000000003,0.483,79.84072800000003,12.163090824868538,0.012,88.09548299999999,23.876330820829054,0.004
580,er,158,3.4000000000000012,em,1.6000000000000003,0.514,80.33515200000004,12.771212419848187,0.008,88.51739400000007,22.061572633171743,0.004
590,er,158,3.4000000000000012,em,1.6000000000000003,0.512,80.59564799999998,12.436783347638066,0.011,89.13743999999991,24.34198020856912,0.001
600,er,158,3.4000000000000012,em,1.6000000000000003,0.527,80.876232,12.167785710562677,0.012,89.39618099999993,24.145582122454908,0.006
610,er,158,3.300000000000001,em,1.7000000000000004,0.502,79.86146399999988,12.046317403120376,0.022,93.42647999999996,23.412757088809148,0.008
620,er,158,3.300000000000001,em,1.7000000000000004,0.496,80.14852799999997,12.096676207670404,0.018,93.81342599999999,23.033710655612797,0.006
630,er,158,3.300000000000001,em,1.7000000000000004,0.545,81.63568799999997,11.75516721508651,0.008,92.7737999999997,21.530668597979425,0.003
640,er,158,3.200000000000001,em,1.8000000000000005,0.514,80.65979999999996,11.965445458318547,0.018,96.81342299999997,21.79116134780453,0.006
650,er,158,3.200000000000001,em,1.8000000000000005,0.532,80.859384,12.649217454551758,0.026,98.09314199999987,23.035101456642877,0.009
660,er,158,3.100000000000001,em,1.9000000000000006,0.531,80.72330400000016,12.24378245459918,0.017,99.61761599999991,20.630904468213032,0.005
670,er,158,3.000000000000001,em,2.0000000000000004,0.51,80.0260560000001,12.092797991401442,0.023,103.82273999999985,21.224955027854016,0.009
680,er,158,3.000000000000001,em,2.0000000000000004,0.523,80.33579999999996,12.082452636778386,0.022,103.98590999999999,20.801598987575506,0.008
690,er,158,2.900000000000001,em,2.1000000000000005,0.488,79.17263999999996,11.735628862843821,0.03,109.06282799999991,21.304250471923353,0.014
700,er,158,2.900000000000001,em,2.1000000000000005,0.504,79.63207200000015,11.582729087515713,0.033,109.15606799999996,22.219506743926836,0.017
710,er,158,2.900000000000001,em,2.1000000000000005,0.511,80.08178400000003,11.873671476057318,0.033,108.93928499999978,21.278439369884182,0.009
720,er,158,2.900000000000001,em,2.1000000000000005,0.527,80.20166400000008,11.94635366156047,0.045,110.230659,22.978444091163695,0.017
730,er,158,2.8000000000000007,em,2.2000000000000006,0.503,79.887384,11.460423852743535,0.048,114.60128399999985,22.12106767742949,0.018
740,er,158,2.8000000000000007,em,2.2000000000000006,0.51,79.91913599999998,11.64013956297383,0.042,114.10244999999989,20.76154323140599,0.022
750,er,158,2.8000000000000007,em,2.2000000000000006,0.533,80.38893600000004,11.235425900066938,0.043,114.44510699999994,21.266794027111715,0.02
760,er,158,2.7000000000000006,em,2.3000000000000007,0.467,78.5576880000001,11.322502331138459,0.049,118.22132699999997,21.256229236817394,0.018
770,er,158,2.7000000000000006,em,2.3000000000000007,0.486,79.1609759999999,11.742320656813446,0.057,117.42179399999982,21.8781610144373,0.032
780,er,158,2.7000000000000006,em,2.3000000000000007,0.51,79.89645599999994,11.628644654303896,0.053,117.93461399999983,21.53939407432569,0.023
790,er,158,2.7000000000000006,em,2.3000000000000007,0.456,78.9911999999999,11.623140433463082,0.049,118.74113999999986,22.086074314790675,0.023
800,er,158,2.7000000000000006,em,2.3000000000000007,0.509,79.82063999999997,11.27441045511428,0.055,117.99055799999971,20.430264360716208,0.022
810,er,158,2.7000000000000006,em,2.3000000000000007,0.552,81.0051840000001,11.174532868899576,0.063,119.42878499999978,22.31289099952895,0.031
820,er,158,2.6000000000000005,em,2.400000000000001,0.483,79.19596800000016,11.38982991685761,0.064,121.31689499999993,19.880434043049593,0.027
830,er,158,2.6000000000000005,em,2.400000000000001,0.54,80.46475199999999,11.440379420740143,0.069,121.39847999999971,21.24378817710609,0.03
840,er,158,2.5000000000000004,em,2.500000000000001,0.475,78.82984800000003,11.051605310763128,0.085,126.45674999999987,20.420877132180088,0.032
850,er,158,2.5000000000000004,em,2.500000000000001,0.495,79.76685599999993,10.43403939743707,0.07,125.31922200000001,19.51443201922053,0.032
860,er,158,2.5000000000000004,em,2.500000000000001,0.493,79.29187199999991,11.200535272192285,0.084,127.1047679999999,20.88128691475367,0.032
870,er,158,2.5000000000000004,em,2.500000000000001,0.508,79.689744,11.103617862231223,0.065,126.48938399999997,20.097803596926333,0.03
880,er,158,2.5000000000000004,em,2.500000000000001,0.501,80.01309599999995,10.939373768492597,0.076,126.12574799999989,20.056400814418694,0.035
890,er,158,2.5000000000000004,em,2.500000000000001,0.522,80.27359200000002,11.129847724093938,0.086,126.32854499999979,20.460945864013464,0.041
900,er,158,2.4000000000000004,em,2.600000000000001,0.441,78.290064,11.21431121504574,0.106,132.49637100000004,20.723064454018267,0.041
910,er,158,2.4000000000000004,em,2.600000000000001,0.457,79.0721999999999,11.17269969989418,0.098,132.11175599999996,20.616508909865157,0.042
920,er,158,2.4000000000000004,em,2.600000000000001,0.46,79.05470399999996,10.639836310788985,0.087,131.03250299999996,18.505795787376233,0.033
930,er,158,2.4000000000000004,em,2.600000000000001,0.505,79.92432000000002,10.76566535879657,0.093,131.42877299999995,19.28771311647756,0.041
940,er,158,2.4000000000000004,em,2.600000000000001,0.508,80.05262399999998,10.701392973749883,0.097,131.22364499999998,19.307656959068364,0.036
950,er,158,2.4000000000000004,em,2.600000000000001,0.497,79.72797600000001,10.879640785219994,0.096,131.8879799999999,19.542289912436004,0.04
960,er,158,2.4000000000000004,em,2.600000000000001,0.536,80.24702400000007,10.447435259210499,0.099,131.330871,18.92001335650801,0.045
970,er,158,2.3000000000000003,em,2.700000000000001,0.506,79.92043200000002,11.188699913992549,0.12,135.2632680000001,18.04609797668759,0.056
980,er,158,2.3000000000000003,em,2.700000000000001,0.509,80.000136,10.511114321017576,0.105,135.20499299999975,18.270489077555975,0.046
990,er,158,2.3000000000000003,em,2.700000000000001,0.501,79.44933600000016,10.529921262719474,0.116,134.99986499999983,18.42902442656358,0.043
1000,er,158,2.3000000000000003,em,2.700000000000001,0.476,79.51284,10.597167313503977,0.119,135.30289499999986,19.429269534289872,0.043
1010,er,158,2.3000000000000003,em,2.700000000000001,0.512,79.86146399999996,10.125317794948435,0.101,134.12573999999978,17.66528937709541,0.041
1020,er,158,2.3000000000000003,em,2.700000000000001,0.534,80.34681600000006,10.417210916081455,0.127,135.46606499999987,19.609761766550932,0.058
1030,er,158,2.2,em,2.800000000000001,0.51,79.98069599999995,10.463237178406628,0.14,137.44974600000006,17.562633904159725,0.061
1040,er,158,2.2,em,2.800000000000001,0.485,79.51024799999998,10.749724303929701,0.124,137.78307899999967,18.27377916499217,0.045
1050,er,158,2.2,em,2.800000000000001,0.48,79.71436800000006,10.598272156184576,0.145,138.8926349999998,19.391731061869475,0.051
1060,er,158,2.2,em,2.800000000000001,0.505,80.13168000000005,10.735785835120513,0.11,137.14671599999977,17.874849721703196,0.051
1070,er,158,2.2,em,2.800000000000001,0.517,80.34487199999994,10.508332094087287,0.16,138.72480299999987,19.183412134870427,0.059
1080,er,158,2.2,em,2.800000000000001,0.528,80.68312799999983,10.305601782702315,0.141,138.31221599999978,18.702568124872233,0.059
1090,er,158,2.1,em,2.9000000000000012,0.49,79.27696799999995,10.49541415242734,0.187,143.12573099999975,19.374270109625513,0.078
1100,er,158,2.1,em,2.9000000000000012,0.474,79.54523999999991,10.463564324187313,0.173,142.20265500000002,19.992993250786377,0.056
1110,er,158,2.1,em,2.9000000000000012,0.499,79.73640000000006,10.085917563017539,0.16,142.34717699999973,18.693473502314255,0.072
1120,er,158,2.1,em,2.9000000000000012,0.525,80.17056000000002,10.590144077886045,0.183,143.05346999999998,19.070244220960728,0.084
1130,er,158,2.0,em,3.0000000000000013,0.426,77.90385600000003,10.52773107764747,0.263,148.76441999999992,18.663960519823355,0.104
1140,er,158,2.0,em,3.0000000000000013,0.419,78.06067200000008,10.036654094089782,0.252,148.48469999999978,18.933690092954244,0.091
1150,er,158,2.0,em,3.0000000000000013,0.46,78.39698400000006,10.51252361213659,0.27,148.8203639999998,19.16241703709539,0.104
1160,er,158,2.0,em,3.0000000000000013,0.428,77.99522400000002,10.380127335144897,0.238,148.37980500000015,19.338307411634506,0.081
