number,target,threshold,prob,mean_er,stddev_er,mean_em,stddev_em
260,em,158,0.69,32.34297599999998,13.86090412893133,169.4030940000002,23.297377014354566
270,em,158,0.686,32.57949600000003,13.762401376576053,169.8762869999999,23.427868659451562
280,em,158,0.725,32.654016000000006,14.495809765851083,171.89260200000044,24.14554127886418
290,em,158,0.763,33.90789599999999,14.283514493750648,172.02780000000018,23.415820304012072
300,em,158,0.73,34.11072000000002,13.869507172556519,173.02779900000004,25.16341858600349
310,em,158,0.759,33.97852799999998,14.072792269099175,173.16532800000024,23.926901009579336
320,em,158,0.797,35.262864000000036,13.86721931886492,174.13968600000035,22.69507903491765
330,em,158,0.787,34.39389599999998,13.65822099532679,174.29819400000008,23.990613497245995
340,em,158,0.799,36.435743999999985,13.607938532432636,175.16299500000036,24.131645836426877
350,em,158,0.812,36.47138399999998,14.136605449560497,175.4939970000001,23.11767190468812
360,em,158,0.834,36.724751999999995,13.57190673275115,176.42173500000027,21.908396151807803
370,em,158,0.835,37.47837599999997,14.041794145857141,176.27721300000024,21.769951542743563
380,em,158,0.863,37.53799199999995,14.14517297172212,178.3354860000002,23.743722528441694
390,em,158,0.855,38.68171199999999,14.223893205907267,177.66882000000012,22.075394572769486
400,em,158,0.87,38.76984000000004,13.879353758096814,177.09306300000006,20.30945482101565
410,em,158,0.857,39.318695999999996,14.460663682541844,176.85530100000028,21.370879414337484
420,em,158,0.892,39.575303999999996,13.244582171272375,181.0953900000001,22.71689561053065
430,em,158,0.898,38.93054399999999,13.504013968893247,180.05809499999998,22.86555060049613
440,em,158,0.894,40.618584000000006,13.991826781479977,180.1070460000002,21.373025818065365
450,em,158,0.897,40.865472000000004,13.803432867269398,180.011475,21.741167772159788
460,em,158,0.897,41.35276800000004,13.405679915698821,181.16065800000027,23.860204812842795
470,em,158,0.898,41.34499199999998,13.861318061711783,181.0231290000001,22.258391646976648
480,em,158,0.923,40.90240800000002,13.226668298008093,180.40075199999987,20.779441380903172
490,em,158,0.935,41.72018400000002,12.626497594429821,182.6618220000002,21.129066078891114
500,em,158,0.928,42.373367999999964,13.429307448434388,182.37277799999984,22.211305800034093
510,em,158,0.938,42.652656,13.590188647464233,182.92755600000035,20.812765801560698
520,em,158,0.945,42.423911999999966,13.515127682721193,183.4636860000002,20.994736635862672
530,em,158,0.938,43.610399999999956,13.264514098601706,184.62452400000004,23.084949258019662
540,em,158,0.94,44.00049599999999,13.330864081595962,184.77603900000025,23.405914344652714
550,em,158,0.942,43.776936,13.020265644751852,184.7807010000001,21.946530137664695
560,em,158,0.952,44.176751999999965,13.420324429256508,183.95785800000004,22.577425844318707
570,em,158,0.947,45.01655999999997,12.954508656618522,185.82732000000019,22.50901276336777
580,em,158,0.96,44.90186399999992,13.451786269395985,184.54293899999993,20.713192942980495
590,em,158,0.945,44.83447200000009,13.27880358832105,185.18862600000023,22.18459175003942
600,em,158,0.967,44.83511999999999,13.39433242269287,186.1909560000002,21.87400066471321
610,em,158,0.966,45.959399999999995,13.293406498862598,186.01380000000015,20.65928886844395
620,em,158,0.975,45.340559999999975,12.741550361176687,186.9625170000002,21.327586502496636
630,em,158,0.963,46.410407999999954,12.977603260754154,186.82265700000028,21.900906871569227
640,em,158,0.976,46.506959999999964,12.057556287341306,186.96484799999985,21.820791679744787
650,em,158,0.979,46.617120000000014,12.854601901326962,187.1350109999999,20.579712282118148
660,em,158,0.976,47.14264800000003,12.772259160387096,187.9345439999998,21.044763731865338
670,em,158,0.979,47.72584800000004,12.73413484995703,187.28885699999984,21.303426020208565
680,em,158,0.984,46.910664,12.49633265910871,188.40773699999994,21.755495485272178
690,em,158,0.977,47.98180799999999,12.535138918541655,187.53827400000017,20.940617866976414
700,em,158,0.984,48.76005599999987,13.375291241871153,188.06274899999988,20.703684150215633
710,em,158,0.971,48.334320000000005,12.738069786337299,187.7643809999999,20.35877291566785
720,em,158,0.983,49.17283199999999,12.451831223229009,188.372772,20.335173733211565
730,em,158,0.985,48.379032000000024,12.927408668057687,189.68046300000003,21.26989551108545
740,em,158,0.987,48.33432,12.32849419359881,189.07673399999982,19.939658492241698
750,em,158,0.985,49.31863199999997,12.353659338697192,189.25388999999979,21.133815813617293
760,em,158,0.985,49.435272000000055,12.3444506663525,189.5545889999999,20.73820352229168
770,em,158,0.996,49.69576800000002,12.573463103305084,190.1676420000001,21.08792148566834
780,em,158,0.991,49.69447199999993,12.011275264234943,191.74805999999995,21.759157720838164
790,em,158,0.992,50.21222399999992,12.20925302931473,190.07440199999996,20.944295857639485
800,em,158,0.984,50.25369599999992,12.252466798959082,189.8063370000002,20.151312455848572
810,em,158,0.992,50.66971200000003,11.767586582007898,190.98116099999984,21.482949118755204
820,em,158,0.99,50.54918399999995,12.230009695750583,191.1350070000001,22.194130385144323
830,em,158,0.995,50.64832799999989,12.061838632166724,190.5126299999998,21.188148901190377
840,em,158,0.991,51.47323199999997,12.316256351431647,190.91822399999995,20.023654164555474
850,em,158,0.992,51.032591999999916,12.039335749182717,191.442699,20.028751637491766
860,em,158,0.992,51.23087999999987,12.189608590665005,191.71775699999986,19.80280070065587
870,em,158,0.994,50.8258799999999,11.779880322041164,191.74339800000013,20.57329507515611
880,em,158,0.994,50.873831999999894,12.489028233285053,192.9368699999998,22.090834240677047
890,em,158,0.993,51.66115199999994,11.55189409165912,192.39374700000033,20.31806238578653
900,em,158,0.995,51.76807199999994,11.705805304156854,192.86694,20.226096536759318
910,em,158,0.991,52.247591999999976,11.97523213677045,192.34479600000006,21.203868692158043
920,em,158,0.996,52.17955199999999,12.05042069934911,192.23290799999978,19.980215960433025
930,em,158,0.998,52.49642399999989,12.32179848221186,192.87160199999974,20.294355354915027
940,em,158,0.998,52.6480559999999,11.868204312231903,191.87626499999988,19.314663046161318
950,em,158,0.998,52.37459999999997,11.470082786449705,193.9228829999999,19.947933560077043
960,em,158,0.997,52.59686399999992,11.598616712932373,192.3424650000002,19.13348853148775
970,em,158,0.998,53.61746399999983,11.641567546714962,192.98582099999965,19.996029271157017
980,em,158,0.995,53.13146399999989,12.004817831550493,194.44735799999984,20.421113408720828
990,em,158,0.994,53.240975999999996,11.524379970455328,194.34712499999995,19.97306233613912
1000,em,158,0.997,53.677727999999924,11.8869255647551,193.83896699999985,19.350999898089924
